function,APR_75,APR_90,APR_100,APR_110,APR_130,APR_160,JUN_75,JUN_90,JUN_100,JUN_110,JUN_130,JUN_160,AUG_75,AUG_90,AUG_100,AUG_110,AUG_130,AUG_160,OCT_75,OCT_90,OCT_100,OCT_110,OCT_130,OCT_160
K08990,1789.2,1591.16,729.16,187.7,144,77.5,860,1122.66,1397.16,1405.66,654.66,54.5,1174,866.06,1218.2,795.5,437.2,40.56,1803.66,649.84,1511.34,1357.66,1073.5,68.16
K08992,17,16.33,40.33,102,444,517,36,38.33,20.83,38.33,61.33,591.5,14,13.83,22,52.5,270,120.83,38.83,37.67,64.17,174.33,45.5,159.83
K08993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.75,7.5,1.75,6.75,3
K08994,1057.7,965,394,244.7,103,61,370,529.5,404,479.5,230,28,296,197.4,352.7,220,183.2,33.9,370.5,269,667.5,414,447,78
K08995,33.2,33,45,28.2,3,2,17,12,17,17,32,3,120,54.4,239.2,53,53.2,153.4,10,12,23,18,6,2
K08996,2.5,0.5,0,0,0,0,0.5,0,1,1,1,0,0.5,1,1,0.5,0.5,0,2.5,4,7,10.5,11.5,0
K08997,915,862,1085,392,194,121,1900,1380,1361,1569,1376,108,695,527,633,489,383,28,1308,573,2132,1391,889,116
K08998,15081.2,13256.66,10094.16,6894.53,6150,4108.83,10446.33,9643.66,11924,10032,10266.5,4190.33,6910.5,5151.73,6915.87,5352.33,6251.53,1387.23,10165.66,6800.17,15797.67,11946.83,8926.17,4163.83
K08999,2263.5,1832.83,1638.33,1583.83,2971.5,2268.83,2420.83,2555.33,1965.17,2738.17,1502.67,581.83,1050,831,1004.17,912.83,954.83,708.5,2024.33,1082,2961,2430,1865.17,977
K09000,2,3,1,0,1,0,8,10,9,10,9,2,2,1,1,0,1,0,3,14,20,9,28,2
K09001,14079.2,12382.66,8499.16,5967.53,3230,1953.83,8293.83,7953.66,10250,8172,8740.5,3767.83,6001,4409.23,5995.37,4581.83,5389.53,530.73,8450.66,6139.92,13485.17,10088.08,7800.92,3552.83
K09003,5,3,8,1,0,0,10,6,9,9,21,1,13,12,29,7,10,0,2,0,0,4,0,0
K09004,794.7,721.5,617,263.95,604.25,590.5,503,753.25,974,941.5,746,2025.75,741,540.15,850.7,598.75,986.95,1174.9,1155,415.75,984.5,791.25,617.25,666.75
K09005,6826.2,6027.33,2763.83,3034.7,2133.5,1378,3004.5,3328.83,3201.83,3665.83,2953.33,959,2354.5,1807.23,2372.7,2020.5,1972.7,455.23,3651.83,2070.17,5393.17,3583.83,2992,674.83
K09007,3186.5,2869.83,4820.33,11177,11939.5,6806.5,4126,3880.33,4450.83,5135.33,14497.83,12156,2263.5,1892.33,2657.5,4439,13622.5,1280.83,3839.83,6212.67,8108.17,4319.33,2535.5,10984.83
K09009,22,29,67,164,19,12,97,95,63,89,52,11,47,24,120,128,79,9,42,41,87,51,42,16
K09011,470,403.33,865.33,1853.83,1150,501.33,668.33,727.33,588.17,835.67,1226.67,287.83,309.5,235.5,312.17,510.83,1021.83,141.5,391.83,697,1335,732.5,400.67,364
