"","APR_75","APR_90","APR_100","APR_110","APR_130","APR_160","JUN_75","JUN_90","JUN_100","JUN_110","JUN_130","JUN_160","AUG_75","AUG_90","AUG_100","AUG_110","AUG_130","AUG_160","OCT_75","OCT_90","OCT_100","OCT_110","OCT_130","OCT_160"
"BACT1722",0,0,6,18,39,13,1,0,3,2,25,9,0,0,0,2,22,1,0,16,10,3,1,13
"BACT3503",0,0,11,12,2,0,1,5,14,7,23,5,0,0,5,15,49,0,0,15,14,4,2,4
"BACT354",0,0,5,13,0,0,2,5,12,9,12,0,1,0,1,3,0,0,1,8,7,2,0,0
"BACT292",5,3,9,3,0,0,24,18,17,8,5,0,6,8,4,2,2,1,7,3,21,16,16,1
"BACT229",44,26,7,1,1,0,21,24,19,40,12,0,8,2,4,2,4,0,16,4,18,15,15,0
"BACT289",26,25,11,7,1,1,1,0,0,0,0,0,1,1,2,0,0,1,6,3,9,4,3,0
"BACT3201",0,0,5,22,42,15,0,3,9,6,68,58,1,0,2,10,43,4,0,10,20,2,1,55
"BACT203",0,2,9,1,0,1,19,12,11,14,15,0,9,2,5,3,1,0,21,18,20,25,10,1
"BACT165",2,2,8,14,0,1,12,2,0,4,1,0,1,2,0,5,1,0,6,5,11,3,3,0
"BACT736",11,13,13,4,4,2,3,2,0,3,0,0,3,1,3,0,1,0,2,0,6,4,7,0
"BACT135",2,4,5,16,91,37,1,5,0,5,4,28,0,0,1,9,30,20,0,8,9,2,0,30
"BACT105",5,3,7,1,1,0,38,48,34,68,13,0,11,10,12,1,2,0,38,4,7,18,17,1
"BACT175",6,5,10,3,3,1,17,17,19,11,5,1,11,1,3,4,0,0,16,4,22,23,7,5
"BACT99",4,1,3,2,0,0,21,21,19,27,16,0,3,3,4,6,3,0,24,34,83,46,14,9
"BACT86",101,102,3,0,0,0,12,25,9,13,10,0,10,5,8,10,7,0,3,0,13,4,8,0
"BACT206",0,0,1,10,48,36,0,1,1,1,8,10,0,0,0,1,9,12,0,10,5,0,0,19
"BACT108",20,12,7,0,0,0,4,11,10,11,5,0,20,10,10,8,5,0,23,4,18,10,6,0
"BACT276",1,1,4,17,20,7,12,2,4,5,6,1,0,2,1,1,4,0,2,3,9,3,3,1
"BACT338",1,1,21,19,0,0,0,2,1,0,1,0,1,0,1,1,1,0,16,7,15,7,6,1
"BACT251",0,0,2,2,44,34,0,0,0,0,0,10,0,0,0,0,5,25,0,0,0,0,0,13
"BACT231",2,1,26,20,2,1,5,5,8,8,9,2,6,8,3,6,3,0,2,9,14,7,2,1
"BACT77",0,0,1,6,180,287,0,0,1,0,0,31,0,0,0,2,12,93,0,0,1,0,0,54
